TestNum,Delay,Jitter,Packetloss,Diff-Delay,MoS,R_Value,ThroughtPut,1way_delay
1,0ms,0ms,0.00%,40ms,,,,
2,0ms,0ms,0.02%,40ms,,,,
3,70ms,0ms,0.02%,40ms,,,,
4,70ms,5ms,0.02%,40ms,,,,
5,70ms,10ms,0.02%,40ms,,,,
6,70ms,15ms,0.02%,40ms,,,,
7,70ms,20ms,0.02%,40ms,,,,
8,70ms,25ms,0.02%,40ms,,,,
9,70ms,30ms,0.02%,40ms,,,,
10,0ms,0ms,0.00%,40ms,,,,
11,0ms,0ms,0.25%,40ms,,,,
12,70ms,0ms,0.25%,40ms,,,,
13,70ms,5ms,0.25%,40ms,,,,
14,70ms,10ms,0.25%,40ms,,,,
15,70ms,15ms,0.25%,40ms,,,,
16,70ms,20ms,0.25%,40ms,,,,
17,70ms,25ms,0.25%,40ms,,,,
18,70ms,30ms,0.25%,40ms,,,,
