timestamp,mix,application,Source IP,Destination IP,Throughput,Avg Throughput,Min Throughput,Max Throughput,Total Measured Time,Total Bytes Sent,Total Bytes Sent By Source,Total Bytes Sent By Destination,Total Bytes Received,Total Bytes Received By Source,Total Bytes Received By Destination,Bytes Lost Percentage,Total Bytes Lost,Total Bytes Lost By Source,Total Bytes Lost By Destination,Datagrams Lost,Datagrams Lost By Source,Datagrams Lost By Destination,Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost By Source,Max Maximum Consecutive DG Lost By Destination,Total Datagrams Sent,Total Datagrams Sent By Source,Total Datagrams Sent By Destination,Total Datagrams Received,Total Datagrams Received By Source,Total Datagrams Received By Destination,Total Duplicate DG Sent,Total Duplicate DG Sent By Source,Total Duplicate DG Sent By Destination,Total Duplicate DG Received,Total Duplicate DG Received By Source,Total Duplicate DG Received By Destination,Total DG Out of Order,Jitter,Avg Jitter,Min Jitter,Max Jitter,Delay Variation,Max Delay Variation,One-Way Delay,Avg One-Way Delay,Min One-Way Delay,Max One-Way Delay,Estimated Error,Maximum Error,Mos,Avg Mos,Min Mos,Max Mos,R-value,Avg R-value,End-to-End Delay,Avg End-to-End Delay,Jitter Buffer Lost Datagrams,Total Jitter Buffer Lost Datagrams,DF,Avg DF,Min DF,Max DF,MLR,Avg MLR,Min MLR,Max MLR,RSSI for Source,RSSI for Destination,BSSID for Source,BSSID for Destination,SSID for Source,SSID for Destination,Wi-Fi Link Speed for Source,Wi-Fi Link Speed for Destination,Wi-Fi Frequency for Source,Wi-Fi Frequency for Destination,Wi-Fi Channel for Source,Wi-Fi Channel for Destination,Latitude for Source,Latitude for Destination,Longitude for Source,Longitude for Destination,Total HTTP Video Upshifts,Total HTTP Video Downshifts,Total HTTP Video Very Low Quality Segments,Total HTTP Video Low Quality Segments,Total HTTP Video Medium Quality Segments,Total HTTP Video High Quality Segments,Total HTTP Video Very High Quality Segments,Avg HTTP Video Prebuffering Duration,Min HTTP Video Prebuffering Duration,Max HTTP Video Prebuffering Duration,Total HTTP Video Stopped Count,Total HTTP Video Stopped Duration,Total HTTP Video Buffer Full Count,Total HTTP Video Buffer Full Duration,HTTP Video Rate,Avg HTTP Video Rate,Min HTTP Video Rate,Max HTTP Video Rate
"2000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","63360","63360","63360","63360","2","15840","15840","N/A","15840","N/A","15840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","99","99","N/A","99","N/A","99","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","1","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","64000","63680","63360","64000","4","31840","31840","N/A","31840","N/A","31840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","199","199","N/A","199","N/A","199","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","65280","64213","63360","65280","6","48160","48160","N/A","48160","N/A","48160","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","301","301","N/A","301","N/A","301","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","62720","63840","62720","65280","8","63840","63840","N/A","63840","N/A","63840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","399","399","N/A","399","N/A","399","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","64000","63872","62720","65280","10","79840","79840","N/A","79840","N/A","79840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","499","499","N/A","499","N/A","499","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","64640","64000","62720","65280","12","96000","96000","N/A","96000","N/A","96000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","600","600","N/A","600","N/A","600","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","63360","63908","62720","65280","14","111840","111840","N/A","111840","N/A","111840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","699","699","N/A","699","N/A","699","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","64000","63920","62720","65280","16","127840","127840","N/A","127840","N/A","127840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","799","799","N/A","799","N/A","799","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","64640","64000","62720","65280","18","144000","144000","N/A","144000","N/A","144000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","900","900","N/A","900","N/A","900","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20000","FlowGroup 1","Skype-VoIP-G711 (RTP)","10.50.1.11","10.50.1.12","63360","63936","62720","65280","20","159840","159840","N/A","159840","N/A","159840","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","999","999","N/A","999","N/A","999","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","1","2","2.000","2.000","2","2","N/A","N/A","4.370","4.370","4.370","4.370","91.442","91.442","63.000","63.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
