timestamp,mix,Source IP,Destination IP,Throughput,Avg Throughput,Min Throughput,Max Throughput,Total Measured Time,Total Bytes Sent,Total Bytes Sent By Source,Total Bytes Sent By Destination,Total Bytes Received,Total Bytes Received By Source,Total Bytes Received By Destination,Bytes Lost Percentage,Total Bytes Lost,Total Bytes Lost By Source,Total Bytes Lost By Destination,Datagrams Lost,Datagrams Lost By Source,Datagrams Lost By Destination,Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost By Source,Max Maximum Consecutive DG Lost By Destination,Total Datagrams Sent,Total Datagrams Sent By Source,Total Datagrams Sent By Destination,Total Datagrams Received,Total Datagrams Received By Source,Total Datagrams Received By Destination,Total Duplicate DG Sent,Total Duplicate DG Sent By Source,Total Duplicate DG Sent By Destination,Total Duplicate DG Received,Total Duplicate DG Received By Source,Total Duplicate DG Received By Destination,Total DG Out of Order,Jitter,Avg Jitter,Min Jitter,Max Jitter,Delay Variation,Max Delay Variation,One-Way Delay,Avg One-Way Delay,Min One-Way Delay,Max One-Way Delay,Estimated Error,Maximum Error,Mos,Avg Mos,Min Mos,Max Mos,R-value,Avg R-value,End-to-End Delay,Avg End-to-End Delay,Jitter Buffer Lost Datagrams,Total Jitter Buffer Lost Datagrams,DF,Avg DF,Min DF,Max DF,MLR,Avg MLR,Min MLR,Max MLR,RSSI for Source,RSSI for Destination,BSSID for Source,BSSID for Destination,SSID for Source,SSID for Destination,Wi-Fi Link Speed for Source,Wi-Fi Link Speed for Destination,Wi-Fi Frequency for Source,Wi-Fi Frequency for Destination,Wi-Fi Channel for Source,Wi-Fi Channel for Destination,Latitude for Source,Latitude for Destination,Longitude for Source,Longitude for Destination,Total HTTP Video Upshifts,Total HTTP Video Downshifts,Total HTTP Video Very Low Quality Segments,Total HTTP Video Low Quality Segments,Total HTTP Video Medium Quality Segments,Total HTTP Video High Quality Segments,Total HTTP Video Very High Quality Segments,Avg HTTP Video Prebuffering Duration,Min HTTP Video Prebuffering Duration,Max HTTP Video Prebuffering Duration,Total HTTP Video Stopped Count,Total HTTP Video Stopped Duration,Total HTTP Video Buffer Full Count,Total HTTP Video Buffer Full Duration,HTTP Video Rate,Avg HTTP Video Rate,Min HTTP Video Rate,Max HTTP Video Rate
"2000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","64000","64000","2","16000","16000","N/A","16000","N/A","16000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","100","100","N/A","100","N/A","100","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","2","4.000","4.000","4","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.397","65.000","65.000","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","64000","64000","4","32000","32000","N/A","32000","N/A","32000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","200","200","N/A","200","N/A","200","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","2","3.000","3.500","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.419","91.408","64.000","64.500","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","64000","64000","6","48000","48000","N/A","48000","N/A","48000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","300","300","N/A","300","N/A","300","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","3","3","3.000","3.333","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.419","91.412","64.000","64.333","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","64000","64000","8","64000","64000","N/A","64000","N/A","64000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","400","400","N/A","400","N/A","400","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","3","3.000","3.250","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.419","91.414","64.000","64.250","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","64000","64000","10","80000","80000","N/A","80000","N/A","80000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","500","500","N/A","500","N/A","500","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","3","4.000","3.400","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.410","65.000","64.400","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12000","FlowGroup 1","10.50.2.11","10.50.2.12","64640","64106","64000","64640","12","96160","96160","N/A","96160","N/A","96160","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","601","601","N/A","601","N/A","601","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","3","4.000","3.500","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.408","65.000","64.500","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14000","FlowGroup 1","10.50.2.11","10.50.2.12","63360","64000","63360","64640","14","112000","112000","N/A","112000","N/A","112000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","700","700","N/A","700","N/A","700","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","3","3.000","3.428","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.419","91.410","64.000","64.428","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","16","128000","128000","N/A","128000","N/A","128000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","800","800","N/A","800","N/A","800","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","3","4.000","3.500","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.408","65.000","64.500","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","18","144000","144000","N/A","144000","N/A","144000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","900","900","N/A","900","N/A","900","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","5","5","4.000","3.555","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.407","65.000","64.555","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","20","160000","160000","N/A","160000","N/A","160000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","1000","1000","N/A","1000","N/A","1000","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","5","4.000","3.600","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.406","65.000","64.600","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"22000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","22","176000","176000","N/A","176000","N/A","176000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","1100","1100","N/A","1100","N/A","1100","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","5","4.000","3.636","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.405","65.000","64.636","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"24000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","24","192000","192000","N/A","192000","N/A","192000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","1200","1200","N/A","1200","N/A","1200","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","3","5","4.000","3.666","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.404","65.000","64.666","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"26000","FlowGroup 1","10.50.2.11","10.50.2.12","64000","64000","63360","64640","26","208000","208000","N/A","208000","N/A","208000","0.000","0","0","N/A","0","0","N/A","0","0","0","N/A","1300","1300","N/A","1300","N/A","1300","N/A","N/A","N/A","0","N/A","0","0","0.000","0.000","0","0","2","5","4.000","3.692","3","4","N/A","N/A","4.370","4.370","4.370","4.370","91.397","91.404","65.000","64.692","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
